"index","Call Failure","Complaints","Subscription Length","Charge Amount","Seconds of Use","Frequency of use","Frequency of SMS","Distinct Called Numbers","Age Group","Tariff Plan","Status","Age","Customer Value","Churn"
"3099","8","1","11","2","1792","25","7","9","3","1","1","30","100.68","1"
"3100","13","0","40","1","4675","77","12","19","3","1","1","30","238.08","0"
"3101","5","0","41","0","623","11","14","6","3","1","2","30","81.36","0"
"3102","15","0","39","1","2758","66","366","26","3","1","1","30","1576.96","0"
"3103","15","0","40","1","4503","72","8","37","1","1","1","15","295.625","0"
"3104","8","0","40","1","2698","64","9","35","2","1","1","25","164.79","0"
"3105","16","0","40","2","4080","88","39","30","3","1","1","30","322.72","0"
"3106","9","0","40","1","2665","45","292","20","3","1","1","30","1276.4","0"
"3107","18","0","39","3","9420","127","151","45","3","1","1","30","985.88","0"
"3108","12","0","40","1","14078","175","7","46","3","1","1","30","598.12","0"
"3109","12","0","40","2","4820","89","9","27","3","1","1","30","232.36","0"
"3110","11","0","40","1","6223","101","14","14","3","1","1","30","308.96","0"
"3111","14","0","40","0","2543","60","15","19","3","1","2","30","164.12","0"
"3112","30","0","40","4","15445","231","61","34","3","2","1","30","871.04","0"
"3113","9","0","40","2","3400","33","490","10","3","1","1","30","2097.32","0"
"3114","14","0","39","1","15790","188","157","32","2","1","1","25","1425.51","0"
"3115","8","0","39","2","6805","92","193","28","3","1","1","30","1047.88","0"
"3116","5","0","39","0","1180","20","7","13","2","1","2","25","85.5","0"
"3117","7","0","40","0","1015","20","20","10","3","1","2","30","121.4","0"
"3118","5","0","39","0","305","6","7","2","2","1","2","25","45.495","1"
"3119","8","0","39","1","7813","133","391","45","3","1","1","30","1881.84","0"
"3120","12","0","39","2","11770","160","18","49","4","1","1","45","343.25","0"
"3121","13","0","39","2","7023","81","115","39","2","1","1","25","837.18","0"
"3122","28","1","35","0","1260","53","23","19","3","1","2","30","144.52","1"
"3123","26","0","38","9","10740","99","8","44","5","2","1","55","174.585","0"
"3124","18","0","38","2","6123","104","33","26","2","1","1","25","428.715","0"
"3125","6","0","36","1","3145","28","7","16","3","1","1","30","154.92","0"
"3126","14","1","37","0","3295","47","16","18","3","1","2","30","197.68","1"
"3127","14","1","38","0","2573","50","41","33","4","1","2","45","168.075","1"
"3128","5","0","38","0","438","8","7","4","3","1","2","30","45.84","1"
"3129","6","0","38","1","1973","31","7","8","4","1","1","45","67.6","0"
"3130","8","0","35","2","7090","103","21","24","5","1","1","55","139.395","0"
"3131","5","1","38","0","933","13","16","6","4","1","2","45","63.65","1"
"3132","5","0","38","2","643","10","11","4","5","1","1","55","26.295","0"
"3133","30","0","33","4","16380","244","7","82","2","2","1","25","779.58","0"
"3134","11","0","36","4","7270","122","278","35","3","2","1","30","1407.68","0"
"3135","7","0","38","1","4023","88","9","30","3","1","1","30","200.44","0"
"3136","8","0","37","0","1970","50","45","22","3","1","2","30","260.8","0"
"3137","11","0","38","1","3085","59","182","25","2","1","1","25","960.48","0"
"3138","9","0","29","2","1620","42","200","13","3","2","1","30","866.48","0"
"3139","9","0","28","1","1873","45","37","70","5","1","1","55","84.27","0"
"3140","16","0","29","0","1005","31","17","9","3","1","2","30","109.44","0"
"3141","5","0","28","0","1130","16","28","5","4","1","2","45","98.65","0"
"3142","15","0","27","1","1530","38","26","15","2","1","1","25","187.56","0"
"3143","7","0","27","1","3530","67","15","25","3","1","1","30","203.88","0"
"3144","7","0","20","1","2000","32","35","16","3","1","1","30","221.28","0"
"3145","21","0","19","2","6697","147","92","44","2","2","1","25","721.98","0"
"3146","17","0","17","1","9237","177","80","42","5","1","1","55","261.21","0"
"3147","13","0","18","4","3157","51","38","21","3","1","1","30","280.32","0"
"3148","7","0","11","2","4695","46","222","12","3","1","1","30","1077.64","0"
"3149","8","1","11","2","1792","25","7","9","3","1","1","30","100.68","1"